Run #: 1496	 PMT #: 7 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	0	0	0
2	199.079	0.0665743	45.5852
3	194	0.0784919	52.4931
4	192.949	0.0903032	62.1488
5	187.297	0.0751167	50.0095
6	79.366	0.127829	87.4584
7	195.219	0.0844675	57.9527
8	197.279	0.083407	56.0779
9	314.321	0.133747	91.9089
10	315.922	0.105963	71.5304
11	315.384	0.125099	85.7206
12	317.569	0.113178	76.5921
13	0	0	0
14	351.315	0.168848	115.5
15	323.213	0.171655	88.3754
16	12.5369	0.126456	83.9939
