Run #: 1501	 PMT #: 11 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	501.063	0.233997	126.255
2	-2309.9	2.98714	1993.46
3	455.984	0.3806	259.126
4	463.644	0.16906	113.321
5	424.569	0.153312	102.208
6	417.344	0.160127	101.989
7	393.424	0.138027	92.0022
8	352.382	0.125954	80.5968
9	471.8	0.150084	101.979
10	458.764	0.169861	117.661
11	442.143	0.158706	106.806
12	323.137	0.116513	78.4893
13	0	0	0
14	428.416	0.166603	112.358
15	0	0	0
16	450.321	0.194218	124.753
