Run #: 1498	 PMT #: 11 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	576.009	0.66614	359.163
2	367.598	0.269395	180.437
3	392.072	0.271692	185.51
4	479.764	0.135143	90.8684
5	571.108	0.411963	275.402
6	-940.67	3.61162	2310.34
7	-4094.11	1.47663	985.351
8	1214.82	3.59682	2311.9
9	401.581	0.128197	87.2178
10	585.082	0.330683	229.42
11	351.474	0.326465	199.298
12	-4360.92	1.53168	1036.69
13	0	0	0
14	558.235	0.211438	129.278
15	0	0	0
16	451.804	0.168918	108.748
