Run #: 1509	 PMT #: 11 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	111.016	0.0517604	28.5134
2	107.393	0.0538072	36.0448
3	92.7926	0.0619252	42.3903
4	84.9698	0.0581935	39.2336
5	78.9733	0.0503061	33.8551
6	99.6253	0.0572065	37.0616
7	304.172	0.708251	477.902
8	233.333	0.0290087	18.8736
9	90.2941	0.056033	38.4548
10	244.444	0.0265923	18.5243
11	-248.544	0.30977	215.452
12	250.352	0.0488099	33.2046
13	0	0	0
14	-177.617	0.331175	231.293
15	0	0	0
16	266.276	0.469995	304.024
