Run #: 1505	 PMT #: 11 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	461.128	1.45996	794.488
2	-963.117	2.59015	1731.58
3	472.994	0.264538	180.097
4	465.52	0.155826	104.786
5	410.046	0.161879	108.194
6	473.044	0.234391	150.252
7	465.64	0.156549	104.699
8	431.599	0.127398	82.0465
9	486.751	0.16763	114.091
10	470.269	0.190892	132.245
11	435.066	0.150752	91.8138
12	486.091	0.158019	106.673
13	0	0	0
14	436.938	0.166838	101.796
15	0	0	0
16	463.387	0.167398	107.699
