Run #: 1501	 PMT #: 7 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	0	0	0
2	326.938	0.123065	84.1994
3	336.509	0.13572	90.68
4	304.06	0.112384	77.1893
5	344.031	0.134425	89.4113
6	328.892	0.126399	86.2945
7	320.53	0.113874	77.9699
8	303.054	0.103937	69.8288
9	310.027	0.128456	88.1839
10	317.828	0.144184	97.3241
11	339.559	0.108431	74.2644
12	335.488	0.124473	84.2003
13	0	0	0
14	333.246	0.127229	86.9412
15	-378.655	0.706477	366.067
16	-3353.47	2.13686	1419.78
