Run #: 1510	 PMT #: 13 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	0	0	0
2	748.092	0.860173	558.9
3	619.777	0.860111	540.26
4	607.737	0.331148	217.555
5	698.717	0.395601	261.634
6	700.069	0.350088	235.901
7	730.389	0.460885	316.104
8	733.152	0.240018	164.755
9	762.644	0.307665	212.915
10	613.819	0.627538	428.662
11	757.651	0.461494	301.214
12	713.732	0.22693	155.391
13	688.248	0.369963	234.416
14	688.651	0.390504	264.117
15	700.126	0.325048	199.5
16	0	0	0
