Run #: 1511	 PMT #: 8 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	0	0	0
2	387.036	0.189592	96.5732
3	0	0	0
4	346.952	0.105929	70.0372
5	364.103	0.13136	87.0678
6	348.368	0.138198	93.1516
7	349.405	0.123639	82.9506
8	356.739	0.106108	70.8087
9	362.349	0.11289	76.4082
10	363.639	0.121165	80.9908
11	338.049	0.114076	75.4198
12	358.091	0.142625	82.2439
13	6091.18	1.8383	1227.37
14	333.729	0.122141	70.2059
15	351.27	0.14605	83.0948
16	-533.259	0.239091	147.752
