Run #: 1496	 PMT #: 8 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	0	0	0
2	400.114	0.209219	105.631
3	0	0	0
4	348.273	0.107886	71.494
5	371.267	0.1275	84.7631
6	447.753	0.180067	121.597
7	384.219	0.118798	79.9063
8	322.595	0.103584	69.2484
9	409.793	0.127047	86.1412
10	434.817	0.0780122	52.2451
11	289.874	0.0958227	63.4864
12	438.779	0.159942	91.5172
13	-8849.4	3.01623	2018.41
14	309.901	0.126263	71.9905
15	348.64	0.120874	68.473
16	-431.921	0.216146	133.186
