Run#	1355	1354	1359	1357	1356
PMT 3	700	725	750	775	800
1	32	32	33	33	35
2	0	0	0	0	0
3	33	33	35	35	36
4	32	33	34	34	35
5	27	28	29	29	29
6	30	30	31	30	31
7	27	26	25	24	24
8	27	28	28	28	28
9	24	24	25	24	25
10	28	27	28	27	27
11	0	0	0	0	0
12	24	25	25	25	25
13	37	34	33	3	32
14	24	25	25	25	25
15	33	33	35	34	35
16	31	32	33	31	32
