Run #: 1511	 PMT #: 14 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	421.909	0.152894	100.671
2	438.618	0.20287	127.255
3	443.436	0.170576	111.239
4	438.189	0.168124	108.893
5	407.36	0.150765	99.6606
6	431.632	0.156051	104.967
7	441.618	0.142854	98.6615
8	8.34403e-309	0	0
9	432.344	0.143827	97.9068
10	411.329	0.16341	112.255
11	409.01	0.160551	104.067
12	0	0	3.88549e-318
13	399.498	0.170588	116.058
14	411.33	0.178575	115.172
15	376.279	0.165532	96.043
16	-2795.12	1.28175	860.394
