Run #: 1511	 PMT #: 13 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	0	0	0
2	-1410.34	0.0342108	22.0883
3	-5396.27	2.79097	1749.99
4	459.34	0.157572	103.355
5	1353.43	2.86544	1892.71
6	473.556	0.260035	175.069
7	487.916	0.241968	165.937
8	491.838	0.178868	122.809
9	515.606	0.232591	161.062
10	161.354	2.66676	1822.19
11	1431.26	3.04859	1988.89
12	489.769	0.152981	104.745
13	501.019	0.224616	141.94
14	478.769	0.261668	176.801
15	484.825	0.197836	120.93
16	0	0	0
